"stock","MortType","CatchYear","AABM Fishery_SEAK_All","AABM Fishery_NBC_T","AABM Fishery_NBC_S","AABM Fishery_WCVI_FW","AABM Fishery_WCVI_SPR T","AABM Fishery_WCVI_SUM T","AABM Fishery_WCVI_AABM S","ISBM Fishery_NBC & CBC_Central T","ISBM Fishery_NBC & CBC_North N","ISBM Fishery_NBC & CBC_TNBC Term N","ISBM Fishery_NBC & CBC_Central N","ISBM Fishery_NBC & CBC_TCBC Term N","ISBM Fishery_NBC & CBC_CBC S","ISBM Fishery_NBC & CBC_ TCBC TERM S","ISBM Fishery_NBC & CBC_NBC ISBM S","ISBM Fishery_NBC & CBC_TNBC TERM S","ISBM Fishery_Southern BC_GEO ST T","ISBM Fishery_Southern BC_WCVI N","ISBM Fishery_Southern BC_GEO ST N","ISBM Fishery_Southern BC_JNST N","ISBM Fishery_Southern BC_BC JF N","ISBM Fishery_Southern BC_FRASER N","ISBM Fishery_Southern BC_ TFRASER TERM N","ISBM Fishery_Southern BC_GEO ST S","ISBM Fishery_Southern BC_TGEO ST TERM S","ISBM Fishery_Southern BC_JNST S","ISBM Fishery_Southern BC_TJNST TERM S","ISBM Fishery_Southern BC_BC JF S","ISBM Fishery_Southern BC_TBC JF TERM S","ISBM Fishery_Southern BC_WCVI ISBM S","ISBM Fishery_US_T","Terminal Fishery_SEAK_All","Terminal Fishery_Canada_TNORTH FN","Terminal Fishery_Canada_TCENTRAL FN","Terminal Fishery_Canada_TGEO ST FN","Terminal Fishery_Canada_TFRAS FN","Terminal Fishery_Canada_CAN TBR TERM FN","Terminal Fishery_Canada_TWCVI TERM N","Terminal Fishery_Canada_TNORTH FS","Terminal Fishery_Canada_TCENTRAL FS","Terminal Fishery_Canada_TWCVI FS","Terminal Fishery_Canada_TFRASER FS","Terminal Fishery_Canada_TGS FS","Terminal Fishery_Canada_TWCVI TERM S","Terminal Fishery_Southern US_All","Escapement_    _Stray","Esc.",
"ATN","LC",2011,11.8677042801556,6.6147859922179,2.14007782101167,0,0,0,0,0,0,0,0,23.9299610894942,2.91828793774319,0.583657587548638,2.33463035019455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17120622568093,0,0,0,0,0,0.972762645914397,0,0,0,0,0,0,40.4669260700389,
"ATN","LC",2012,9.56521739130435,1.61490683229814,1.61490683229814,0,0,0,0,0,0,0,0,17.2670807453416,1.86335403726708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9130434782609,0,0,0,0,0,0,0,0,0,0,0,0,54.1614906832298,
"ATN","LC",2013,3.87596899224806,1.14593865857769,1.85372430064038,0,0,0,0,0,0,0,0,9.10010111223458,0.876306033029997,0,0.202224469160768,0,0,0,0,0,0,0,0,0,0,0.134816312773846,0,0,0,0,0,0.0674081563869228,0,9.26862150320189,0,0,0,0,0,4.85338725985844,0,0,0,0,0,0,68.6215032018874,
"ATN","LC",2014,5.84474885844749,2.22222222222222,1.55251141552511,0.121765601217656,0,0.060882800608828,0.182648401826484,0,0,0,0,6.87975646879756,2.28310502283105,0.121765601217656,1.12633181126332,0,0,0,0,0,0,0,0,0.060882800608828,0,0,0,0,0,0,0,0,0,11.3850837138508,0,0,0,0,0,4.93150684931507,0,0,0,0,0,0,63.2267884322679,
"ATN","LC",2015,4.09419003668205,0.887468938587149,1.85776831144243,0,0.189326706898592,0,0,0,0,0,0.023665838362324,7.75056206366111,2.76890308839191,0.141995030173944,0.331321737072536,0,0,0,0,0,0,0,0,0.035498757543486,0,0.047331676724648,0,0,0,0,0.035498757543486,0,0,7.02875399361022,0,0,0,0,0,1.23062359484085,0,0,0,0,0,0,73.5770914684653,
"ATN","LC",2016,6.11570247933884,0.971074380165289,2.37603305785124,0.0619834710743802,0.247933884297521,0,0,0,0,0,0,4.15289256198347,2.60330578512397,0.433884297520661,0.392561983471074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619834710743802,0,0,11.9214876033058,0,0,0,0,0,3.57438016528926,0,0,0,0,0,0,67.0867768595041,
"ATN","LC",2017,5.29865125240848,1.6859344894027,1.49325626204239,0,0.192678227360308,0,0,0,0,0,0.0481695568400771,11.7533718689788,1.58959537572254,0.722543352601156,0.385356454720617,0,0,0,0,0,0,0,0,0,0,0.240847784200385,0,0,0,0,0,0,0,17.4373795761079,0,0,0,0,0,3.3718689788054,0,0,0,0,0,0,55.7803468208092,
"ATN","LC",2018,0.629650829994276,0.160274756725816,0.194619347452776,0,0.0343445907269605,0,0,0,0,0,0,4.30452203777905,0.206067544361763,0.0915855752718947,0,0,0,0,0,0,0,0,0,0.0915855752718947,0,0,0,0,0,0,0.0228963938179737,0,0,2.91929021179164,0,0,0,0,0,0.206067544361763,0,0,0,0,0,0,91.1390955924442,
"ATN","TM",1979,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","TM",1980,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
